title,artist,isHot,popularity,album_popularity,genres,cluster
El Divertido,Orquesta La Sublime,0,0,10,['musica tradicional cubana'],2
Blackwood Moth,Milieu,0,2,14,['deep idm'],2
Dreaming Of April,Out Of The Grey,0,2,15,['deep christian rock'],2
New Sensation,Snow Patrol,0,16,18,"['irish rock', 'modern rock', 'neo mellow', 'permanent wave', 'pop rock']",2
Clever Girls Like Clever Boys Much More Than Clever Boys Like Clever Girls,Pelle Carlberg,0,10,11,"['svensk indie', 'twee pop', 'uppsala indie']",2
Never Alone,Open Hand,0,2,13,['spacegrunge'],2
Chatterbox,Sex Pistols,0,0,2,"['alternative rock', 'punk', 'rock']",2
Sporco Ma Distinto,Ennio Morricone,0,1,12,"['classic soundtrack', 'italian soundtrack', 'orchestral soundtrack', 'vintage italian soundtrack']",2
Elle Et Moi,Koffi Olomide,0,19,30,"['azontobeats', 'ndombolo', 'rumba congolaise', 'soukous', 'zilizopendwa']",2
Columbus Stockade Blues,Charlie McCoy,0,5,15,['harmonica blues'],2
Damn That Radio - Live,The Wreckers,0,6,14,"['candy pop', 'country dawn']",2
Camisa Amarela,Gal Costa,0,25,46,"['bossa nova', 'mpb', 'tropicalia']",2
Style,Enuff Z'Nuff,0,1,9,"['glam metal', 'underground power pop']",2
Keep the Circle Around (2023 Remaster),Inspiral Carpets,0,3,14,"['britpop', 'madchester']",2
幸災樂禍,Eason Chan,0,9,38,"['c-pop', 'cantopop', 'mandopop']",2
Birth Of The Falls,Stephen Warbeck,0,0,4,"['british soundtrack', 'soundtrack']",2
For Me This Is Happy,Gene Pitney,0,0,3,"['adult standards', 'brill building pop', 'merseybeat', 'rock-and-roll', 'rockabilly']",2
Ithaki,Peggy Zina,0,0,2,"['greek pop', 'laiko']",2
Guilty Partner - 2015 Remaster,New Order,0,28,48,"['alternative rock', 'dance rock', 'madchester', 'new romantic', 'new wave', 'permanent wave', 'post-punk', 'synthpop', 'uk post-punk']",2
Delilah,The Sensational Alex Harvey Band,0,20,19,['glam rock'],2
Our Lady of Fatima (Original Mix),Kitty Kallen,0,0,9,['torch song'],2
