title,artist,isHot,popularity,album_popularity,genres
Song For Paul,Alex Gopher,False,0,7,"['electrofox', 'filter house']"
Thrill Me - 2008 Remaster,Simply Red,False,37,69,"['british soul', 'new romantic', 'new wave', 'new wave pop', 'soft rock', 'sophisti-pop']"
Covered - The Beauty Of Simplicity Album Version,Telecast,False,5,21,[]
From The Gardner Meditations: African Tarantella,Stefon Harris,False,9,13,['jazz vibraphone']
Beautiful Lies,Eddie,False,0,0,"['brazilian indie', 'manguebeat']"
Alma de Metal,Bobby Pulido,False,6,41,"['banda', 'grupera', 'musica mexicana', 'norteno', 'tejano']"
Toby,The Chi-Lites,False,24,24,"['chicago soul', 'classic soul', 'disco', 'funk', 'quiet storm', 'soul', 'southern soul']"
La Fruta Bomba,Fruko Y Sus Tesos,False,1,15,"['salsa', 'salsa colombiana']"
Wartime Blues,Blind Lemon Jefferson,False,0,0,"['acoustic blues', 'blues', 'country blues', 'delta blues', 'gospel blues', 'pre-war blues', 'texas blues', 'traditional blues']"
Only You,Nana Mouskouri,False,1,30,[]
Change Your Mind,KMD,False,0,0,[]
O.T. - Skit,Cam'ron,False,0,21,"['battle rap', 'east coast hip hop', 'harlem hip hop', 'southern hip hop']"
Wildflower,Bon Jovi,True,27,60,"['glam metal', 'rock']"
Dolores,The Merry Macs,False,2,32,"['big band', 'british dance band', 'vocal harmony group']"
Tables Turn,Ann Nesby,False,3,23,[]
Heal (The Separation) - PM Dawn Alt. Lead Mix,The Shamen,False,0,2,"['acid house', 'big beat', 'britpop', 'dance rock', 'hardcore techno', 'hip house']"
East West - 2006 Remaster,Thomas Battenstein,False,0,0,[]
The Invasion (Aka Black Wa Da Da),Burning Spear,False,13,23,"['dub', 'reggae', 'roots reggae']"
Motivator,Midwest Product,False,1,6,['michigan indie']
IV,From Autumn To Ashes,False,11,40,"['melodic metalcore', 'metalcore', 'post-hardcore', 'screamo']"
La petite boite en fer,Mademoiselle Sane,False,0,3,[]
The Other Side Of That Hill,Barbara Fairchild,False,0,1,"['arkansas country', 'classic country pop', 'country gospel']"
Own Me,The Frequency,False,0,0,[]
Someday (I Will Understand),Britney Spears,False,32,34,"['dance pop', 'pop']"
Fall Line - Live feat. Matt Costa,Jack Johnson,False,10,31,['neo mellow']
Morghe Eshgh,Mohammad Nouri,False,0,5,['classic persian pop']
Das ist mein Viertel (feat. Capkekz),Eko Fresh,False,8,36,"['cologne hip hop', 'german hip hop', 'turkish hip hop']"
Me vuelves loco,Caballo Dorado,False,8,18,[]
Sista,City High,False,8,54,[]
Valerie (feat. Amy Winehouse) - Version Revisited,Mark Ronson,False,80,76,['pop soul']
November Has Come,Gorillaz,False,65,84,"['alternative hip hop', 'modern rock', 'rock']"
